Artikelgruppe;Ladegruppe;Betriebsgruppe;EK-grp;EDEKA-Wgr;Artikeltyp;KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;EAN;Ind.Artikelnr.;Lieferant;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Aktionsart;Endverbr. von;Endverbr. Bis;Lieferd. Von;Marker_1;VVK-Nr;Kompontenten-Artikelnummer;Bild-Nr;Marker_2;Marker_3;Sortiment;Marker_4;
TS;1120;SEH_ALL;32;730310;00;29;1372148006;9;Para.Sand-und Wassermuschel;1 ST;60;5,425E+12;;5217666;;;;15,659;19,99;7;19,99;7;19,99;7;L;EK;;;0;ZLAD;12.07.2026;18.07.2026;06.07.2026;5;0000102629;;105;00;98;Eigenaktivitäten;;
TS;1120;SEH_ALL;32;731399;00;29;3211835005;1;Outdoor Straßenmalkreide 20ST;6 PA;84;4,0185E+12;;5217666;;;;2,09;4,99;50;4,99;50;4,99;50;L;EK;;;0;ZLAD;12.07.2026;18.07.2026;06.07.2026;5;0000102629;;103;00;98;Eigenaktivitäten;;
TS;1120;SEH_ALL;32;730310;00;29;6931148004;9;Outd.Eimergarnitur 7tlg.;16 NZ;10;4,0185E+12;;5217666;;;;3,409;5,99;32;5,99;32;5,99;32;L;EK;;;0;ZLAD;12.07.2026;18.07.2026;06.07.2026;5;0000102629;;104;00;98;Eigenaktivitäten;;
TS;1120;SEH_ALL;32;740203;12;29;6442785002;1;John Spielbälle 9Z.4f.36ST DP;36 ST;4;4,00615E+12;;5217666;;;;2,86;4,99;32;4,99;32;4,99;32;L;EK;;;0;ZLAD;12.07.2026;18.07.2026;06.07.2026;5;0000102629;;106;00;98;Eigenaktivitäten;;
;1120;SEH_ALL;;740203;99;29;6442785002;;John Paw Patrol Spielball 9Z.;9 ST;0;;;5217666;;;;;;;;;;;L;;;;0;;12.07.2026;18.07.2026;06.07.2026;;0000102629;000000003514788006;;00;98;Eigenaktivitäten;;
;1120;SEH_ALL;;740203;99;29;6442785002;;John Spielball Vinyl Gabbys Dollh.9Z.;9 ST;0;;;5217666;;;;;;;;;;;L;;;;0;;12.07.2026;18.07.2026;06.07.2026;;0000102629;000000005946055002;;00;98;Eigenaktivitäten;;
;1120;SEH_ALL;;740203;99;29;6442785002;;John Spielball Stich 9Z.;9 ST;0;;;5217666;;;;;;;;;;;L;;;;0;;12.07.2026;18.07.2026;06.07.2026;;0000102629;000000006031813000;;00;98;Eigenaktivitäten;;
;1120;SEH_ALL;;740203;99;29;6442785002;;John Spielball Spidey&Friends 9Z.;9 ST;0;;;5217666;;;;;;;;;;;L;;;;0;;12.07.2026;18.07.2026;06.07.2026;;0000102629;000000002301195003;;00;98;Eigenaktivitäten;;
TS;1120;SEH_ALL;32;740203;00;29;2301195003;5;John Spielball Spidey&Friends 9Z.;10 ST;0;4,00615E+12;;5217666;;;;2,86;4,99;32;4,99;32;4,99;32;L;EK;;;1;ZLAD;12.07.2026;18.07.2026;06.07.2026;5;0000102629;;;00;98;Eigenaktivitäten;X;
TS;1120;SEH_ALL;32;740203;00;29;3514788006;3;John Paw Patrol Spielball 9Z.;12 ST;12;4,00615E+12;;5217666;;;;2,86;4,99;32;4,99;32;4,99;32;L;EK;;;1;ZLAD;12.07.2026;18.07.2026;06.07.2026;5;0000102629;;;00;98;Eigenaktivitäten;X;
TS;1120;SEH_ALL;32;740203;00;29;5946055002;1;John Spielball Vinyl Gabbys Dollh.9Z.;12 ST;0;4,00615E+12;;5217666;;;;2,86;4,99;32;4,99;32;4,99;32;L;EK;;;1;ZLAD;12.07.2026;18.07.2026;06.07.2026;5;0000102629;;;00;98;Eigenaktivitäten;X;
TS;1120;SEH_ALL;32;740203;00;29;6031813000;5;John Spielball Stich 9Z.;12 ST;0;4,00615E+12;;5217666;;;;2,86;4,99;32;4,99;32;4,99;32;L;EK;;;1;ZLAD;12.07.2026;18.07.2026;06.07.2026;5;0000102629;;;00;98;Eigenaktivitäten;X;
TS;1120;SEH_ALL;32;740201;00;29;6195720002;9;New S.Fußball;20 ST;4;4,0185E+12;;5217666;;;;5,385;7,99;20;7,99;20;7,99;20;L;EK;;;0;ZLAD;12.07.2026;18.07.2026;06.07.2026;5;0000102629;;107;00;98;Eigenaktivitäten;;
