KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
27;3547358009;1;King G.Instant Teegetr.3f.120x400g 1/4CH;120 ST;0;;;;1,649;2,79;37;2,69;34;2,49;29;L;EK;100;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;3547358009;;KING G.Kirsch Banane Instant Tee 400g;50 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;3547358009;;KING G.Erdbeer-Kiwi Instant-Teegetr.400g;30 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;3547358009;;KING G.Mango-Marac.Inst.Teegetr.400g;40 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;5387813007;9;Knoppers 8+1ST 144x225g 1/4CH;144 ST;4;1,514;;;1,594;2,69;40;2,49;35;2,49;35;L;EK;60;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;5904879006;7;Lotus Biscoff Dop.Keks 3f.108x150g 1/4CH;108 ST;4;;;;1,234;2,19;40;1,99;34;1,99;34;L;EK;102;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;5904879006;;Lotus Biscoff Doppelkeks Schoko.150g;27 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;5904879006;;Lotus Biscoff Dop.Keks Biscoff Creme150g;45 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;5904879006;;Lotus Biscoff Dop.Keks Van.Geschm.150g;36 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7066927007;3;Jean&L.Love Collection 7f.42x75ml DP;42 ST;18;;;;1,758;3,29;36;2,99;30;2,99;30;L;EK;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7066927007;;Jean&L.Handcreme Youre Peach Perf.75ml;6 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7066927007;;Jean&L.Handcreme Youre One in A Mel.75ml;6 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7066927007;;Jean&L.Handcreme Your Cream Come 75ml;6 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7066927007;;Jean&L.Handcreme Mille Grazie Pist.75ml;6 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7066927007;;Jean&L.Handcreme Merci Mon Cherry 75ml;6 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7066927007;;Jean&L.Handcreme Let's Avocuddle 75ml;6 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7066927007;;Jean&L.Handcreme So Matcha 75ml;6 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7108007005;1;Comp.Blasenpflaster 3f.72x6ST DP;72 ST;4;;;;3,527;7,29;42;6,99;40;6,99;40;L;EK;242;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
