KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
28;6887643008;0;Kinder Bueno 2f.162ST 1/4CH;162 ST;4;;;;2,152;3,69;38;3,29;30;3,29;30;L;EK;100;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6887643008;;Kinder bueno white 6ST 117g;81 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6887643008;;Kinder Bueno Dark 6ST 129g;81 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;5919576002;6;Nawarra Bierstangerl 4f.128x100g 1/4CH;128 ST;4;;;;1,303;2,29;39;2,19;36;1,99;30;L;EK;112;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;5919576002;;Nawarra Kümmel Bierstangerl 100g;16 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;5919576002;;Nawarra Sesam Bierstangerl 100g;32 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;5919576002;;Nawarra Mohn Bierstangerl 100g;16 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;5919576002;;Nawarra Käse Bierstangerl 100g;64 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6461745005;8;Milford K&L 20ST 6f.140x50g DP;140 ST;4;;;;1,475;3,29;52;2,99;47;2,99;47;L;EK;280;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6461745005;;Milford K&L Active Zitr.Limette 20ST 50g;20 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6461745005;;Milford K&L Himbeere-Kirsche 20ST 50g;30 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6461745005;;Milford K&L Melone 20ST 50g;20 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6461745005;;Milford K&L Active Wildbeere 20ST 50g;20 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6461745005;;Milford K&L Eistee Zitrone 20ST 50g;20 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6461745005;;Milford K&L Eistee Pfirsich 20ST 50g;30 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7100470005;4;Balconi Rollino 2f.108x6x222g 1/4CH;108 ST;4;;;;0,959;1,69;39;1,59;35;1,49;31;L;EK;120;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7100470005;;Balconi Rollino Haselnuss 6ST 222g;54 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7100470005;;Balconi Rollino Milch 6ST 222g;54 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7086079001;8;B.Maman Süße Cremes 4f.72ST 1/4CH;72 ST;4;;;;2,024;3,49;38;3,49;38;3,49;38;L;EK;50;Sonderposten kein Nachkauf möglich;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7086079001;;B.Maman Haselnuss-Kakao-Creme 250g;30 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7086079001;;B.Maman Erdnuss-Kakao Creme 240g;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7086079001;;B.Maman Erdnuss-Creme Crunchy 230g;12 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7086079001;;B.Maman Erdnuss-Creme bes.cremig 230g;12 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7044980008;4;Hengs.Toppings 4f.60x200g 1/4CH;60 ST;4;;;;1,365;2,69;46;2,59;44;2,49;41;L;EK;160;Sonderposten kein Nachkauf möglich;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7044980008;;Hengs.Hot Taco Kraut-Jalapeno Mix 250g;12 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7044980008;;Hengs.Fruity Sandw.Gurke-Mango Mix 250g;12 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7044980008;;Hengs.Tasty Hotdog Gurke-Zwiebel 250g;12 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7044980008;;Hengs.Smoky Burger Kraut-BBQ Mix 200g;24 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7068987005;2;Bio Hipp Kinderge.Ice St.4f.126ST DPG DP;126 ST;4;;;;1,11;1,7;22;1,59;17;1,59;17;L;EK;100;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7068987005;;Bio HiPP Ice Sticks 10x40ml;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7068987005;;Bio Hipp Trink.Apfel m.stil.Wa.300ml DPG;36 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
